1547438268, 13/01/2019, 17:57:48, IGUA_002, cash, 000000, 50, 577
1547438563, 13/01/2019, 18:02:43, IGUA_002, cash, 000000, 10, 226
1547438573, 13/01/2019, 18:02:53, IGUA_002, cash, 000000, 10, 229
1547439008, 13/01/2019, 18:10:08, IGUA_002, cash, 000000, 20, 415
1547440576, 13/01/2019, 18:36:16, IGUA_002, cash, 000000, 30, 701
1547442478, 13/01/2019, 19:07:58, IGUA_002, cash, 000000, 10, 232
1547442519, 13/01/2019, 19:08:39, IGUA_002, cash, 000000, 20, 414
1547492023, 14/01/2019, 08:53:43, IGUA_002, cash, 000000, 20, 426
1547493258, 14/01/2019, 09:14:18, IGUA_002, cash, 000000, 20, 441
1547501498, 14/01/2019, 11:31:38, IGUA_002, cash, 000000, 30, 664
1547501741, 14/01/2019, 11:35:41, IGUA_002, cash, 000000, 100, 1683
1547502048, 14/01/2019, 11:40:48, IGUA_002, cash, 000000, 20, 456
1547502095, 14/01/2019, 11:41:35, IGUA_002, cash, 000000, 10, 241
1547502109, 14/01/2019, 11:41:49, IGUA_002, cash, 000000, 10, 215
1547502129, 14/01/2019, 11:42:09, IGUA_002, cash, 000000, 10, 227
1547516785, 14/01/2019, 15:46:25, IGUA_002, cash, 000000, 20, 460
1547517259, 14/01/2019, 15:54:19, IGUA_002, cash, 000000, 50, 575
1547526071, 14/01/2019, 18:21:11, IGUA_002, igua-rfid, rfid_255255255255, 0, 0
1547581810, 15/01/2019, 09:50:10, IGUA_002, cash, 000000, 10, 229
1547581815, 15/01/2019, 09:50:15, IGUA_002, cash, 000000, 10, 254
1547581830, 15/01/2019, 09:50:30, IGUA_002, cash, 000000, 10, 214
1547586796, 15/01/2019, 11:13:16, IGUA_002, cash, 000000, 50, 470
1547592329, 15/01/2019, 12:45:29, IGUA_002, cash, 000000, 10, 228
1547592352, 15/01/2019, 12:45:52, IGUA_002, cash, 000000, 10, 213
1547592518, 15/01/2019, 12:48:38, IGUA_002, cash, 000000, 10, 215
1547592535, 15/01/2019, 12:48:55, IGUA_002, cash, 000000, 10, 212
1547595503, 15/01/2019, 13:38:23, IGUA_002, cash, 000000, 20, 413
1547596197, 15/01/2019, 13:49:57, IGUA_002, cash, 000000, 50, 1027
1547610940, 15/01/2019, 17:55:40, IGUA_002, cash, 000000, 10, 216
1547610955, 15/01/2019, 17:55:55, IGUA_002, cash, 000000, 10, 216
1547610977, 15/01/2019, 17:56:17, IGUA_002, cash, 000000, 10, 244
1547612853, 15/01/2019, 18:27:33, IGUA_002, cash, 000000, 10, 240
1547612903, 15/01/2019, 18:28:23, IGUA_002, cash, 000000, 10, 211
1547613005, 15/01/2019, 18:30:05, IGUA_002, cash, 000000, 10, 304
1547672852, 16/01/2019, 11:07:32, IGUA_002, cash, 000000, 30, 673
1547676891, 16/01/2019, 12:14:51, IGUA_002, cash, 000000, 50, 655
1547677934, 16/01/2019, 12:32:14, IGUA_002, cash, 000000, 50, 394
1547692600, 16/01/2019, 16:36:40, IGUA_002, cash, 000000, 20, 500
1547695299, 16/01/2019, 17:21:39, IGUA_002, cash, 000000, 10, 213
1547695336, 16/01/2019, 17:22:16, IGUA_002, cash, 000000, 10, 211
1547695365, 16/01/2019, 17:22:45, IGUA_002, cash, 000000, 10, 213
1547699666, 16/01/2019, 18:34:26, IGUA_002, cash, 000000, 10, 211
1547699724, 16/01/2019, 18:35:24, IGUA_002, cash, 000000, 10, 211
1547758497, 17/01/2019, 10:54:57, IGUA_002, cash, 000000, 50, 483
1547760411, 17/01/2019, 11:26:51, IGUA_002, cash, 000000, 40, 842
1547760485, 17/01/2019, 11:28:05, IGUA_002, cash, 000000, 50, 1014
1547760529, 17/01/2019, 11:28:49, IGUA_002, cash, 000000, 20, 422
1547762620, 17/01/2019, 12:03:40, IGUA_002, cash, 000000, 50, 1059
1547765461, 17/01/2019, 12:51:01, IGUA_002, cash, 000000, 50, 1043
1547767044, 17/01/2019, 13:17:24, IGUA_002, cash, 000000, 10, 1050
1547767058, 17/01/2019, 13:17:38, IGUA_002, cash, 000000, 10, 227
1547767081, 17/01/2019, 13:18:01, IGUA_002, cash, 000000, 10, 210
1547840320, 18/01/2019, 09:38:40, IGUA_002, cash, 000000, 10, 215
1547847692, 18/01/2019, 11:41:32, IGUA_002, cash, 000000, 100, 1537
1547856422, 18/01/2019, 14:07:02, IGUA_002, cash, 000000, 20, 430
1547864028, 18/01/2019, 16:13:48, IGUA_002, cash, 000000, 50, 1043
1547866155, 18/01/2019, 16:49:15, IGUA_002, cash, 000000, 50, 1120
1547866200, 18/01/2019, 16:50:00, IGUA_002, cash, 000000, 20, 339
1547866993, 18/01/2019, 17:03:13, IGUA_002, cash, 000000, 100, 2088
1547875147, 18/01/2019, 19:19:07, IGUA_002, cash, 000000, 10, 228
1547875165, 18/01/2019, 19:19:25, IGUA_002, cash, 000000, 10, 214
1547941472, 19/01/2019, 13:44:32, IGUA_002, cash, 000000, 30, 653
1547962229, 19/01/2019, 19:30:29, IGUA_002, cash, 000000, 50, 928
1548017391, 20/01/2019, 10:49:51, IGUA_002, cash, 000000, 50, 1095
1548017413, 20/01/2019, 10:50:13, IGUA_002, cash, 000000, 20, 410
1548017865, 20/01/2019, 10:57:45, IGUA_002, cash, 000000, 20, 426
1548017889, 20/01/2019, 10:58:09, IGUA_002, cash, 000000, 20, 415
1548018458, 20/01/2019, 11:07:38, IGUA_002, cash, 000000, 10, 228
1548018471, 20/01/2019, 11:07:51, IGUA_002, cash, 000000, 10, 218
1548022781, 20/01/2019, 12:19:41, IGUA_002, cash, 000000, 30, 599
1548027834, 20/01/2019, 13:43:54, IGUA_002, cash, 000000, 10, 235
1548028477, 20/01/2019, 13:54:37, IGUA_002, cash, 000000, 50, 1205
1548030481, 20/01/2019, 14:28:01, IGUA_002, cash, 000000, 20, 448
1548036987, 20/01/2019, 16:16:27, IGUA_002, cash, 000000, 10, 234
1548042303, 20/01/2019, 17:45:03, IGUA_002, cash, 000000, 20, 470
1548042347, 20/01/2019, 17:45:47, IGUA_002, cash, 000000, 10, 216
1548042384, 20/01/2019, 17:46:24, IGUA_002, cash, 000000, 10, 236
1548045861, 20/01/2019, 18:44:21, IGUA_002, cash, 000000, 40, 835
